$ZQDM,$SC,$ZQDM1,$SC1,JZRQ,DWJZ,ZXFE,FEBH,ZFEBH,YFEBH,YZGM,YYGM,ZXSSDW
517030,1,931395,62,20260318,1.1297,93040300.00,0.00,0.00,0.00,105321619.60,106903304.70,300.00
517050,1,930625,62,20260318,0.8078,359605000.00,0.00,0.00,-8000000.00,292718470.00,312831855.00,200.00
517080,1,H30455,62,20260318,1.0131,217166000.00,0.00,0.00,-4000000.00,219989158.00,227579814.00,400.00
517090,1,GPCCH003,12,20260318,1.6922,90075000.00,-1000000.00,6000000.00,-15000000.00,145113450.00,172638225.00,100.00
517100,1,H30455,62,20260318,1.0349,175102100.00,0.00,0.00,0.00,181580877.70,183857205.00,450.00
517110,1,931409,62,20260318,0.7052,686098500.00,0.00,8000000.00,25000000.00,474668950.00,489873988.50,100.00
517120,1,931409,62,20260318,0.6689,418966400.00,-2000000.00,10000000.00,18000000.00,271962656.00,282280345.60,200.00
517160,1,931554,62,20260318,0.9908,1816777500.00,0.00,0.00,0.00,1829494942.50,1791342615.00,200.00
517170,1,H30455,62,20260318,1.0322,16131800.00,0.00,0.00,0.00,16760940.20,16938390.00,500.00
517180,1,GPCCH003,12,20260318,1.6085,134496300.00,0.00,-4000000.00,-40000000.00,227549420.90,272214228.00,100.00
517200,1,930625,62,20260318,0.7203,139782000.00,0.00,0.00,-4000000.00,101202168.00,108986756.00,100.00
517300,1,931395,62,20260318,0.9387,1935434500.00,0.00,0.00,24000000.00,1819308430.00,1812039906.00,300.00
517330,1,931554,62,20260318,0.9998,1823169000.00,-1000000.00,0.00,1000000.00,1855986042.00,1823991169.00,100.00
517350,1,931524,62,20260318,0.8667,76042000.00,0.00,0.00,-4500000.00,65852372.00,71682380.00,150.00
517360,1,931442,62,20260318,1.0175,28083000.00,0.00,0.00,0.00,28672743.00,28869324.00,150.00
517380,1,HZ5370,27,20260318,0.7366,2516326300.00,0.00,38000000.00,44000000.00,1824048156.80,1933359166.60,200.00
517390,1,931470,62,20260318,1.8544,186112600.00,-1000000.00,0.00,-3000000.00,344866647.80,349480084.80,100.00
517400,1,931238,62,20260318,1.8685,870792000.00,-4000000.00,-17000000.00,76000000.00,1791564256.00,1636476728.00,100.00
517520,1,931238,62,20260318,2.3767,6128404000.00,-143500000.00,-305500000.00,198500000.00,16560868896.00,15560068096.00,50.00
517550,1,931663,62,20260318,0.7292,96917400.00,0.00,0.00,-1500000.00,69586693.20,74600389.20,150.00
517660,1,931575,62,20260318,1.1655,44680700.00,0.00,0.00,0.00,51963654.10,52857268.10,120.00
517770,1,931580,62,20260318,1.1773,174947800.00,-3000000.00,-7000000.00,-40000000.00,219610994.60,276852766.40,100.00
517800,1,931487,62,20260318,0.9912,466539700.00,-1000000.00,10000000.00,34000000.00,460192017.60,453734145.30,100.00
517850,1,931596,62,20260318,1.1722,40185200.00,0.00,0.00,-2000000.00,47699832.40,53490833.60,200.00
517880,1,931404,62,20260318,0.8551,45337100.00,0.00,2000000.00,2000000.00,37053220.50,38049973.80,200.00
517900,1,931039,62,20260318,1.4785,641993500.00,0.00,-5000000.00,-34000000.00,934258614.00,983570542.50,100.00
517950,1,931785,62,20260318,1.0144,60623200.00,0.00,1500000.00,-3000000.00,60837772.80,66486244.00,150.00
517990,1,H30463,62,20260318,0.8813,47987900.00,0.00,0.00,-3000000.00,42325327.80,47214795.40,100.00
520500,1,HZ5489,27,20260318,1.5491,1367305000.00,0.00,13000000.00,97500000.00,2057189295.00,2020259755.00,50.00
520510,1,932069CNY200,62,20260318,0.8903,225728000.00,1000000.00,13000000.00,22000000.00,188689736.00,197616160.00,100.00
520520,1,HZ5314,27,20260318,1.0948,56106000.00,0.00,1000000.00,-5000000.00,60506388.00,72043974.00,50.00
520530,1,931573,62,20260318,0.8921,238776000.00,4000000.00,-1000000.00,24000000.00,210283552.00,198023472.00,100.00
520550,1,HZ5339,27,20260318,1.2292,948524000.00,0.00,-1000000.00,-42500000.00,1180258332.00,1259591504.00,50.00
520560,1,HZ5021,27,20260318,0.8848,798419000.00,0.00,-15000000.00,-18000000.00,706047692.00,738859195.00,100.00
520570,1,HZ5017,27,20260318,0.8308,3483876000.00,0.00,13000000.00,126000000.00,2856530948.00,2891131236.00,100.00
520580,1,ES50,12,20260317,0.9760,269983900.00,0.00,7000000.00,13000000.00,260880028.80,269833095.00,100.00
520590,1,HZ5017,27,20260318,0.8895,283235000.00,1000000.00,2000000.00,8000000.00,247486800.00,252940965.00,100.00
520600,1,931239,62,20260318,1.2341,454868000.00,1000000.00,31000000.00,23500000.00,528139528.00,546543256.00,50.00
520610,1,SPAHLVCP,12,20260318,0.9991,412963000.00,-4000000.00,-13000000.00,-126000000.00,423833185.00,548664334.00,100.00
520620,1,HZ5314,27,20260318,0.9366,448409000.00,3000000.00,6000000.00,-25000000.00,415864460.00,475302636.00,100.00
520630,1,931637,62,20260318,0.8651,401610000.00,4000000.00,5500000.00,68500000.00,338277940.00,301797660.00,50.00
520650,1,931637,62,20260318,0.7887,491755000.00,0.00,10500000.00,110000000.00,373935135.00,314947875.00,50.00
520660,1,931722,62,20260318,1.1166,2511485500.00,-18000000.00,-28000000.00,-186000000.00,2854381702.00,2940259195.00,100.00
520670,1,HZ5506,27,20260318,0.8597,301428100.00,-1500000.00,-1000000.00,30000000.00,257366313.10,245913858.60,50.00
520690,1,HZ5517,27,20260318,0.8049,606454000.00,0.00,2000000.00,26000000.00,479332022.00,482937728.00,100.00
520700,1,931250,62,20260318,1.5032,520076000.00,0.00,2000000.00,-28000000.00,766234404.00,868152384.00,100.00
520720,1,931239,62,20260318,0.9131,194942000.00,2000000.00,46000000.00,48000000.00,136579814.00,137684654.00,100.00
520760,1,HZ5366,27,20260318,0.9460,368466000.00,0.00,2000000.00,-15000000.00,342645710.00,361224972.00,100.00
520770,1,HZ5552,27,20260318,0.9710,356373800.00,7000000.00,46000000.00,112000000.00,299821090.80,243151931.00,100.00
520780,1,931239,62,20260318,1.0027,45460000.00,0.00,-7000000.00,-14000000.00,52932140.00,61243800.00,100.00
520810,1,930914,62,20260318,1.0616,236360000.00,7000000.00,20000000.00,60000000.00,231288840.00,189410640.00,100.00
520820,1,HZ5552,27,20260318,0.9676,82682000.00,-1000000.00,-2000000.00,-5000000.00,81294720.00,86892862.00,100.00
520830,1,WISAUS,12,20260317,0.9106,1407619000.00,0.00,2000000.00,11000000.00,1294575099.00,1286286099.00,50.00
520840,1,HZ5506,27,20260318,0.8458,1445549000.00,-5000000.00,-33500000.00,85000000.00,1236484964.00,1217691355.00,50.00
520850,1,932069,62,20260318,0.8461,152249600.00,0.00,0.00,-6000000.00,127889664.00,145431382.40,100.00
520860,1,931573,62,20260318,0.8649,635195000.00,-1000000.00,-25000000.00,-85000000.00,561825945.00,642413940.00,100.00
520870,1,BOVESPA,12,20260317,1.1378,446977200.00,2000000.00,10000000.00,32000000.00,529616366.40,514571728.00,50.00
520880,1,HZ5517,27,20260318,0.4965,4665618000.00,-6000000.00,-14000000.00,92000000.00,2288333202.00,2350839652.00,200.00
520890,1,HZ5339,27,20260318,1.4776,85008000.00,0.00,500000.00,2500000.00,126254952.00,125989716.00,50.00
520900,1,931722,62,20260318,1.1199,1563175000.00,-93000000.00,-148000000.00,-271000000.00,1925071875.00,2037768425.00,50.00
520910,1,931637,62,20260318,0.8331,772445000.00,-1000000.00,-3000000.00,1000000.00,637415790.00,674242930.00,100.00
520920,1,HZ5017,27,20260318,0.7697,20040019000.00,106000000.00,335000000.00,1434000000.00,14995519459.00,14996451314.00,100.00
520930,1,HZ5366,27,20260318,0.9440,202733000.00,0.00,1000000.00,-27000000.00,188620355.00,230192466.00,100.00
520940,1,HZ5552,27,20260318,1.0427,30297000.00,0.00,0.00,1000000.00,31357395.00,31259899.00,100.00
520950,1,HZ5556,27,20260318,0.9227,478421000.00,-5000000.00,-15000000.00,-57000000.00,449506531.00,504366582.00,100.00
520960,1,HZ5552,27,20260318,0.9568,82603400.00,0.00,0.00,-4000000.00,78555833.40,84871332.00,100.00
520970,1,931250,62,20260318,0.8408,1237358000.00,0.00,19000000.00,35000000.00,1010018782.00,1065289188.00,100.00
520980,1,HZ5368,27,20260318,0.9661,5314387000.00,-17000000.00,-19000000.00,-20000000.00,5120051520.00,5489084223.00,100.00
520990,1,931722,62,20260318,1.0960,4978470500.00,-129000000.00,-162000000.00,-797000000.00,5659658020.50,6202855317.00,100.00
530000,1,000016,1,20260318,1.3779,1040029400.00,-3000000.00,-15000000.00,-25000000.00,1463325777.80,1505951571.60,100.00
530050,1,000016,1,20260318,1.1721,142813000.00,1000000.00,-1000000.00,-3000000.00,169986966.00,175558852.00,100.00
530060,1,000001,1,20260318,0.9936,87193000.00,3000000.00,0.00,-60000000.00,87977737.00,148664930.00,300.00
530080,1,000010,1,20260318,1.2366,30917000.00,0.00,-2000000.00,2000000.00,41376669.00,36666756.00,200.00
530100,1,950580,62,20260318,1.1388,192696000.00,-4000000.00,-4000000.00,-24000000.00,232101280.00,252234144.00,400.00
530180,1,000010,1,20260318,1.2022,57952000.00,0.00,-2000000.00,-2000000.00,73321296.00,73920816.00,200.00
530280,1,000010,1,20260318,1.2252,43434000.00,0.00,0.00,-1500000.00,54075330.00,56392170.00,150.00
530300,1,000010,1,20260318,1.2327,41643000.00,0.00,0.00,-2000000.00,52261965.00,55164752.00,200.00
530380,1,000009,1,20260318,1.0996,262705000.00,0.00,-12000000.00,-48000000.00,312339585.00,354514405.00,400.00
530530,1,950580,62,20260318,1.1358,251460000.00,3000000.00,0.00,-36000000.00,295716960.00,333741060.00,300.00
530580,1,000010,1,20260318,1.1906,69149000.00,-2000000.00,6000000.00,6000000.00,76410290.00,77168078.00,200.00
530680,1,000010,1,20260318,1.1748,192891900.00,0.00,-2000000.00,-6000000.00,232895820.50,239863631.40,200.00
530800,1,000010,1,20260318,1.2275,16201800.00,0.00,-2000000.00,-2000000.00,22715846.40,22934268.00,200.00
530880,1,000151,1,20260318,1.0768,46336000.00,0.00,0.00,-3500000.00,49903872.00,52477308.00,50.00
560000,1,H11052,62,20260318,0.8578,10022900.00,0.00,0.00,0.00,8749991.70,8790083.30,100.00
560010,1,000852,1,20260318,3.3259,1660621700.00,-16000000.00,-62000000.00,-402000000.00,5912037674.40,7033539997.00,200.00
560020,1,000922,62,20260318,1.1416,84562000.00,0.00,3000000.00,-3000000.00,94285672.00,98769936.00,100.00
560030,1,H30356,62,20260318,1.3511,25432000.00,0.00,0.00,0.00,34816408.00,34384064.00,100.00
560050,1,746059,12,20260318,1.0344,3327434400.00,-27500000.00,-65000000.00,-135000000.00,3528131776.00,3590544472.80,250.00
560060,1,931755,62,20260318,1.0576,86090000.00,-1000000.00,-17000000.00,-22000000.00,113399000.00,115872480.00,100.00
560070,1,932039,62,20260318,1.2238,134862300.00,0.00,0.00,-1500000.00,168712737.30,162680223.90,50.00
560080,1,930641,62,20260318,1.0375,2438765000.00,0.00,-9000000.00,20500000.00,2540780070.00,2558524370.00,50.00
560090,1,399975,0,20260318,1.1948,2736365000.00,2000000.00,19000000.00,12000000.00,3274424825.00,3421802440.00,50.00
560100,1,000905,1,20260318,1.3550,59580300.00,3000000.00,6000000.00,-3000000.00,75066000.30,87549839.70,150.00
560110,1,000852,1,20260318,1.1969,187903500.00,24000000.00,9000000.00,-3000000.00,220766919.00,234429498.00,300.00
560120,1,932367,62,20260318,1.3837,465689000.00,34000000.00,119000000.00,322000000.00,504085806.00,205331581.00,100.00
560130,1,H30192,62,20260318,0.9767,105776200.00,0.00,-5000000.00,-12000000.00,108560676.00,115891780.80,100.00
560150,1,H30269,62,20260318,1.1684,678279300.00,1000000.00,-26000000.00,-65000000.00,816963988.00,845108564.10,100.00
560160,1,H30192,62,20260318,0.9728,158706000.00,-1000000.00,-9000000.00,-22000000.00,164016468.00,177272586.00,100.00
